"Dealer Name",Address,Phone
"Saisha Motors Pvt Ltd  North  Plot No 07Old Delhi RoadAlwar - 301001  Opposite Mahindra Truck and Bus Showroom   +917574999339   Closed for the day","Plot No 07Old Delhi RoadAlwar - 301001",+917574999339
"Saisha Motors Pvt Ltd  North  Hotel Jaipur MarriottAshram MargJaipur - 302015  Near Jawahar Circle   +917574999339   Closed for the day","Hotel Jaipur MarriottAshram MargJaipur - 302015",+917574999339
"Saisha Motors Pvt Ltd  North  Plot No 86, Bhan NagarVaishali NagarJaipur - 302021  Next to Hotel Sarovar Portico   +917574999339   Closed for the day","Plot No 86, Bhan NagarVaishali NagarJaipur - 302021",+917574999339
"Saisha Motors Pvt Ltd  North  No F 2248, Industrial Area, Goner RoadRamchandrapuraJaipur - 302022  Near Poornima University   +919116699718   Closed for the day","No F 2248, Industrial Area, Goner RoadRamchandrapuraJaipur - 302022",+919116699718
"Saisha Motors Pvt Ltd  North  No F/53, Riico Industrial AreaParbatpura BypassAjmer - 305001  Opposite Khalsa Petrol Pump   +917574999339   Open until 07:30 PM","No F/53, Riico Industrial AreaParbatpura BypassAjmer - 305001",+917574999339
"Fatehpuria Motocorp Pvt. Ltd.  North  Ground FloorGaurav PathBhilwara - 311001  Near Saras Dairy   +919462991909   Closed for the day","Ground FloorGaurav PathBhilwara - 311001",+919462991909
"Jai cars Pvt. Ltd.  North  Plot No 1, RIICO Industrial Area, NH 08AmberiUdaipur - 313001   +917574066688   Closed for the day","Plot No 1, RIICO Industrial Area, NH 08AmberiUdaipur - 313001",+917574066688
"Fatehpuria Motocorp Pvt. Ltd.  North  No G2, Automobile ZoneIndraprastha Industrial AreaKota - 324005   +919783744333   Closed for the day","No G2, Automobile ZoneIndraprastha Industrial AreaKota - 324005",+919783744333
"Saisha Motors Pvt Ltd  Ground FloorJaipur Jhunjhunu BypassSikar - 332001  Infront of Rajasthan Defence Academy   +917574999339   Closed for the day","Ground FloorJaipur Jhunjhunu BypassSikar - 332001",+917574999339
"Jai cars pvt ltd  North  Plot No 27, NH 65, Pali RdBhagat Ki Kothi ExtnJodhpur - 342001   +917574066622   Closed for the day","Plot No 27, NH 65, Pali RdBhagat Ki Kothi ExtnJodhpur - 342001",+917574066622
"Saisha Motors Pvt Ltd  North  Plot No 07Old Delhi RoadAlwar - 301001  Opposite Mahindra Truck and Bus Showroom   +917574999339   Closed for the day","Plot No 07Old Delhi RoadAlwar - 301001",+917574999339
"Saisha Motors Pvt Ltd  North  Hotel Jaipur MarriottAshram MargJaipur - 302015  Near Jawahar Circle   +917574999339   Closed for the day","Hotel Jaipur MarriottAshram MargJaipur - 302015",+917574999339
"Saisha Motors Pvt Ltd  North  Plot No 86, Bhan NagarVaishali NagarJaipur - 302021  Next to Hotel Sarovar Portico   +917574999339   Closed for the day","Plot No 86, Bhan NagarVaishali NagarJaipur - 302021",+917574999339
"Saisha Motors Pvt Ltd  North  No F 2248, Industrial Area, Goner RoadRamchandrapuraJaipur - 302022  Near Poornima University   +919116699718   Closed for the day","No F 2248, Industrial Area, Goner RoadRamchandrapuraJaipur - 302022",+919116699718
"Saisha Motors Pvt Ltd  North  No F/53, Riico Industrial AreaParbatpura BypassAjmer - 305001  Opposite Khalsa Petrol Pump   +917574999339   Open until 07:30 PM","No F/53, Riico Industrial AreaParbatpura BypassAjmer - 305001",+917574999339
"Fatehpuria Motocorp Pvt. Ltd.  North  Ground FloorGaurav PathBhilwara - 311001  Near Saras Dairy   +919462991909   Closed for the day","Ground FloorGaurav PathBhilwara - 311001",+919462991909
"Jai cars Pvt. Ltd.  North  Plot No 1, RIICO Industrial Area, NH 08AmberiUdaipur - 313001   +917574066688   Closed for the day","Plot No 1, RIICO Industrial Area, NH 08AmberiUdaipur - 313001",+917574066688
"Fatehpuria Motocorp Pvt. Ltd.  North  No G2, Automobile ZoneIndraprastha Industrial AreaKota - 324005   +919783744333   Closed for the day","No G2, Automobile ZoneIndraprastha Industrial AreaKota - 324005",+919783744333
"Saisha Motors Pvt Ltd  Ground FloorJaipur Jhunjhunu BypassSikar - 332001  Infront of Rajasthan Defence Academy   +917574999339   Closed for the day","Ground FloorJaipur Jhunjhunu BypassSikar - 332001",+917574999339
"Jai cars pvt ltd  North  Plot No 27, NH 65, Pali RdBhagat Ki Kothi ExtnJodhpur - 342001   +917574066622   Closed for the day","Plot No 27, NH 65, Pali RdBhagat Ki Kothi ExtnJodhpur - 342001",+917574066622
"Jai Cars Pvt Ltd  North  Balaji Industrial Area, Road No 6, Phase 2BasniJodhpur - 342005  Near Curio Crafts   +912916454444   Closed for the day","Balaji Industrial Area, Road No 6, Phase 2BasniJodhpur - 342005",+912916454444
